Transportadora,Localidade,Sigla do Ponto,Ponto Zona (sigla),Fluxo,Município,UF,Vazão Mensurável Mínima (Mm³/d),Vazão Mensurável Máxima (Mm³/d),Pressão de Recebimento Mínima (Kgf/cm2),Pressão de Recebimento Máxima (Kgf/cm2),Capacidade Técnica do Ponto (Mil m³/dia),Capacidade Comercial da Zona (Mil m³/dia),Capacidade Disponível da Zona (Mil m³/dia),Capacidade Contratada da Zona (Mil m³/dia),Tarifa Referência (R$/MMBtu)
TAG,Estação KM 370,KM370,CE2,Saída,Caucaia,CE,170.0,1700.0,50.0,100.0,1700.0,-3125.5,-3175.5,50.0,4.381511
TAG,Estância,Estância,SE,Saída,Estância,SE,10.0,90.0,30.0,45.0,90.0,5697.0,4248.0,1449.0,3.904875
TAG,Eunápolis,Eunápolis,BA1,Saída,Eunápolis,BA,50.0,500.0,33.0,44.0,500.0,-1639.0,-1922.0,283.0,3.832738
TAG,FAFEN-BA,FAFEN-BA,BA3,Saída,Camaçari,BA,200.0,2960.0,21.0,23.0,2960.0,-46.0,-2745.0,2699.0,3.832738
TAG,FAFEN-SE,FAFEN-SE,SE,Saída,Laranjeiras,SE,150.0,1500.0,23.0,31.5,1500.0,5697.0,4248.0,1449.0,3.904875
TAG,Fazenda Alvorada,FazenAlvor,BA2,Saída,Esplanada,BA,6.0,60.0,32.0,41.0,60.0,112.8,70.8,42.0,3.832738
TAG,Fazenda Belém,FazBelém,CE1,Saída,Aracati,CE,18.0,160.0,15.0,19.0,160.0,21.9,-466.6,488.5,4.381511
TAG,Fazenda Bálsamo,FazenBalsa,BA2,Saída,Esplanada,BA,3.0,30.0,31.0,41.0,30.0,112.8,70.8,42.0,3.832738
TAG,Fortaleza,Fortaleza,CE1,Saída,Maracanaú,CE,27.5,550.0,9.5,15.0,550.0,21.9,-466.6,488.5,4.381511
TAG,Goiana II,Goiana II,PE2,Saída,Goiana,PE,250.0,1000.0,35.5,40.0,1000.0,20.3,-829.7,850.0,4.076333
TAG,Goianinha,Goianinha,RN1,Saída,Goianinha,RN,7.0,70.0,30.0,43.0,70.0,92.7,-78.8,171.5,4.27274
TAG,Ielmo Marinho,IelmMarinh,RN1,Saída,Ielmo Marinho,RN,1.5,8.0,24.0,34.0,8.0,92.7,-78.8,171.5,4.27274
TAG,Igarassu,Igarassu,PE2,Saída,Igarassu,PE,47.0,129.0,25.0,30.0,129.0,20.3,-829.7,850.0,4.076333
TAG,Igarassu II,IgarassuII,PE2,Saída,Igarassu,PE,24.0,93.0,25.0,30.0,93.0,20.3,-829.7,850.0,4.076333
TAG,Iranduba,Iranduba,AM,Saída,Iranduba,AM,6.0,60.0,34.0,50.0,60.0,0.0,0.0,0.0,
TAG,Itabuna,Itabuna,BA1,Saída,Itabuna,BA,50.0,500.0,33.0,44.0,500.0,-1639.0,-1922.0,283.0,3.832738
TAG,Itaporanga,Itaporanga,SE,Saída,Itaporanga d`Ajuda,SE,3.5,35.0,30.0,45.0,35.0,5697.0,4248.0,1449.0,3.904875
TAG,Jaboatão,Jaboatão,PE2,Saída,Jaboatão dos Guararapes,PE,100.0,400.0,36.0,42.0,400.0,20.3,-829.7,850.0,4.076333
